gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ZHX1,0.004014811,0.293505236,0.095,0.077,1
PSMF1,0.004014829,0.10406957,0.267,0.246,1
OPA1,0.004020247,-0.323494905,0.14,0.16,1
MAN1A2,0.004027002,0.124507131,0.151,0.135,1
KRCC1,0.004033205,0.885366646,0.074,0.039,1
CALM2,0.004033503,-0.219808127,0.494,0.551,1
MFSD12,0.004041834,0.483976626,0.101,0.067,1
AC011603.2,0.004072825,0.693503431,0.057,0.036,1
IRF2,0.004106136,1.370264045,0.112,0.042,1
PPM1A,0.004191421,-0.244219794,0.117,0.133,1
GPAT3,0.004195865,-0.354194984,0.056,0.057,1
NAA60,0.004220715,-0.154135723,0.071,0.076,1
SHLD2,0.004224169,-0.160799724,0.081,0.087,1
LNPEP,0.004232535,0.210665084,0.192,0.163,1
DCAF7,0.004236589,0.426063308,0.083,0.057,1
PHF1,0.004262967,-0.436329155,0.24,0.313,1
PHF12,0.004263134,-0.256185291,0.116,0.136,1
ROCK1,0.004267478,0.147648645,0.271,0.238,1
VPS28,0.004273605,0.439600499,0.312,0.241,1
FKBP5,0.004280252,0.3808113,0.148,0.111,1
DOCK8,0.004349808,0.470807489,0.258,0.187,1
TERF1,0.004370441,0.138670171,0.073,0.063,1
MCM3AP,0.00438126,0.141424447,0.073,0.062,1
LPIN2,0.004432893,-0.12525437,0.117,0.124,1
PPM1L,0.004485247,0.927810408,0.071,0.036,1
ACOT2,0.004491397,0.353541585,0.056,0.045,1
LGALS8,0.004493592,-0.133781938,0.09,0.092,1
ARL6IP1,0.004559775,-0.249622704,0.358,0.408,1
RAB11B,0.004567144,0.352200167,0.248,0.198,1
ANKRD17,0.00457166,-0.126025708,0.142,0.143,1
HADHB,0.004595844,0.184130339,0.118,0.096,1
ZFP91,0.00461267,-0.410024176,0.174,0.215,1
RAB30,0.004628298,-0.288474217,0.089,0.112,1
UROS,0.004641196,0.324595361,0.097,0.078,1
MFSD6,0.004643493,-0.144367296,0.078,0.081,1
ORMDL1,0.004664044,0.280565792,0.297,0.244,1
BTBD1,0.00467271,-0.291417763,0.105,0.118,1
FRYL,0.004692581,0.303200083,0.154,0.119,1
TMEM62,0.004703851,-0.206087428,0.055,0.06,1
TCP1,0.004715666,-0.183778244,0.171,0.184,1
MPHOSPH9,0.004752627,0.180026672,0.052,0.046,1
RCBTB2,0.00475286,0.911081913,0.089,0.047,1
DNASE2,0.004759549,0.910763161,0.056,0.028,1
SUSD1,0.004782818,0.734964522,0.054,0.031,1
FBXW7,0.004792036,0.350580763,0.243,0.182,1
ANKRD44,0.004799335,0.385788083,0.377,0.305,1
TAP1,0.004820437,0.80573774,0.21,0.129,1
MAN2C1,0.004849869,-0.27827487,0.045,0.051,1
XRCC1,0.004854677,0.501547374,0.054,0.037,1
TAF1,0.004862969,-0.268355637,0.067,0.071,1
DDIT3,0.004878117,0.109379816,0.16,0.151,1
MIF4GD,0.004890001,0.483055574,0.128,0.091,1
NDUFB8,0.004955645,0.125738925,0.403,0.369,1
RNF24,0.004956588,0.168994468,0.071,0.058,1
ODF3B,0.004962112,0.642906026,0.11,0.072,1
ZNF101,0.004963004,-0.426124678,0.069,0.094,1
ARHGAP4,0.004971579,0.259434627,0.255,0.213,1
TTC13,0.004986966,1.068854368,0.052,0.025,1
CREG1,0.005069044,0.49430924,0.08,0.056,1
IFRD2,0.005086424,0.457557516,0.061,0.043,1
TBK1,0.005093742,0.102856938,0.101,0.088,1
YIPF6,0.005104081,-0.196470034,0.059,0.067,1
RAP2A,0.005108655,0.398622958,0.064,0.048,1
SPI1,0.005113243,0.845940322,0.154,0.092,1
RNF34,0.005138073,0.149073605,0.104,0.093,1
PLEKHA1,0.005158458,0.112497304,0.121,0.115,1
ASMTL,0.005168723,-0.149277601,0.105,0.11,1
UBLCP1,0.005178516,-0.140098546,0.096,0.099,1
SNAPC2,0.005204121,0.114006816,0.054,0.044,1
TTC39B,0.00523061,0.278060218,0.065,0.054,1
KRIT1,0.005259659,0.265721467,0.066,0.054,1
RIC8A,0.005264163,-0.410864571,0.103,0.122,1
PEX1,0.005271974,-0.164081466,0.058,0.065,1
KDM5B,0.005344274,-0.489553014,0.075,0.094,1
ISCA2,0.005352073,-0.142568575,0.085,0.096,1
GHITM,0.00538334,0.226397214,0.296,0.252,1
BEX4,0.005385999,-0.462261688,0.162,0.223,1
AGPAT4,0.005410156,0.144549024,0.084,0.067,1
RNF138,0.005410821,-0.124320067,0.217,0.231,1
IQGAP2,0.005416706,0.596805997,0.266,0.185,1
DPM1,0.005429711,-0.163571977,0.076,0.083,1
THEMIS,0.005492875,1.226766841,0.117,0.059,1
YJU2,0.005511742,0.198589357,0.082,0.073,1
ANKRD28,0.005574602,-0.190340373,0.091,0.098,1
EFR3A,0.005578363,0.110059112,0.159,0.134,1
ESYT1,0.005620705,1.049886962,0.078,0.038,1
RP9,0.00563152,-0.150504925,0.13,0.144,1
PGGHG,0.005649696,0.133403645,0.106,0.105,1
AC103591.3,0.005689141,-0.168494835,0.127,0.137,1
TMEM87A,0.005690321,-0.17120662,0.194,0.2,1
BBS9,0.005727587,0.670551155,0.059,0.036,1
RBFA,0.005802403,0.484676459,0.051,0.037,1
MRPS2,0.005824563,0.12458221,0.099,0.091,1
IAH1,0.005851776,0.259263258,0.129,0.104,1
CHKB,0.005902429,0.27345821,0.157,0.126,1
TRAP1,0.005909489,0.507214787,0.067,0.048,1
RAB11FIP4,0.005920451,-0.29524646,0.05,0.059,1
DPH3,0.00592586,0.545486361,0.106,0.072,1
SPIDR,0.005953866,0.390909492,0.165,0.118,1
ZDHHC5,0.005969335,-0.340583422,0.068,0.081,1
PHF6,0.006010498,0.461229919,0.05,0.036,1
ITPR2,0.006061592,0.214569961,0.123,0.098,1
C15orf39,0.00606239,0.795931784,0.091,0.053,1
RAB14,0.006064806,-0.106017137,0.281,0.292,1
PTEN,0.006084793,0.250076509,0.216,0.175,1
PARP1,0.006094359,0.770156457,0.114,0.067,1
MESD,0.006118359,0.139433638,0.106,0.094,1
PPP6R1,0.00616732,0.436177389,0.144,0.104,1
MKNK1,0.006209553,0.254074671,0.07,0.056,1
HM13,0.006242848,0.359785439,0.222,0.165,1
PPM1D,0.006277004,0.219764606,0.08,0.066,1
FHL3,0.006299167,0.676853425,0.069,0.042,1
HDGFL3,0.006334506,0.471587918,0.064,0.045,1
ATP6V0B,0.006369442,0.283574661,0.287,0.236,1
NSG1,0.006400675,1.40874815,0.068,0.028,1
TAOK3,0.00640466,0.466580919,0.262,0.188,1
RAB8A,0.006424984,0.558396521,0.179,0.122,1
SEC31A,0.006475769,0.370981348,0.165,0.125,1
SMIM20,0.006484569,0.476482017,0.091,0.065,1
GNG5,0.006496454,0.305737866,0.402,0.331,1
PARP15,0.006509918,0.475471593,0.11,0.08,1
TPP2,0.006545434,-0.10766952,0.224,0.234,1
KPNA6,0.006570246,-0.235616194,0.071,0.078,1
SUGP2,0.006575325,0.113329257,0.072,0.063,1
TSHZ1,0.00665136,-0.145310793,0.054,0.054,1
NCF1,0.006709305,1.060247558,0.183,0.126,1
UBAC1,0.006736945,0.546701672,0.114,0.078,1
SH3GLB1,0.006743295,-0.255196019,0.242,0.264,1
RTTN,0.006763549,-0.288606394,0.052,0.058,1
GNB2,0.006773834,0.637280309,0.39,0.277,1
SIVA1,0.006802616,-0.158134711,0.326,0.349,1
MAPK6,0.006818591,0.144802003,0.137,0.12,1
TIMM50,0.006861879,0.10806596,0.068,0.061,1
TCERG1,0.006960365,-0.248495704,0.189,0.213,1
ZNF529,0.007013485,0.162275086,0.059,0.054,1
YTHDC1,0.007030556,-0.216378141,0.337,0.374,1
LSM14A,0.007057954,-0.203465227,0.354,0.376,1
ICAM1,0.007058741,0.44766062,0.074,0.05,1
PBX2,0.007102866,0.700343215,0.073,0.044,1
FAM102B,0.007108521,-0.499466312,0.07,0.084,1
TCAF2,0.007115894,-0.362554276,0.078,0.105,1
ACSL3,0.007174324,0.191976664,0.181,0.152,1
NOP16,0.007183161,-0.11189948,0.051,0.052,1
SCLT1,0.007231335,0.253962254,0.167,0.128,1
CLIP1,0.007277771,0.108231385,0.131,0.115,1
JAK3,0.007295663,-0.103010238,0.098,0.1,1
PRKCH,0.007320397,-0.142678691,0.371,0.394,1
CPD,0.007330736,0.196761231,0.162,0.132,1
IKZF1,0.007363154,-0.123840091,0.464,0.479,1
RRP8,0.007380491,-0.324894519,0.07,0.086,1
SAMD3,0.007413861,1.266625975,0.155,0.071,1
PARN,0.007416956,0.118934,0.08,0.072,1
RBM7,0.007469969,0.157492859,0.155,0.141,1
CNDP2,0.007482705,0.951903529,0.087,0.045,1
CIDEB,0.007538496,0.907682426,0.05,0.025,1
EPB41L3,0.00754095,0.325444954,0.057,0.041,1
ABL1,0.007541223,-0.309956279,0.059,0.065,1
ZNF592,0.007562284,-0.153253031,0.065,0.069,1
ATP5MPL,0.0076129,-0.187286585,0.385,0.416,1
RAB6A,0.007614246,0.195634278,0.139,0.115,1
MAPK9,0.007653565,0.115113958,0.068,0.059,1
LTN1,0.007675261,0.160519773,0.077,0.066,1
SUN2,0.007722204,0.414935018,0.398,0.313,1
HIST1H4F,0.007730959,0.125946331,0.057,0.054,1
TAPBPL,0.007752984,0.647203413,0.079,0.05,1
DMAC1,0.007770565,0.676087613,0.065,0.042,1
NFX1,0.007781077,-0.142613076,0.079,0.082,1
CTNNBIP1,0.007832818,0.794770468,0.063,0.037,1
EIF1AD,0.007857363,-0.206466928,0.066,0.078,1
CDKN1B,0.007907557,-0.140035188,0.324,0.355,1
CCDC18-AS1,0.007937367,0.253839447,0.135,0.114,1
SRA1,0.007941422,-0.139294612,0.143,0.136,1
AFF3,0.00798861,0.206964631,0.054,0.046,1
HEXB,0.008000428,0.543110018,0.13,0.087,1
ZNF862,0.008005925,0.580793796,0.058,0.04,1
NARF,0.008024883,0.112141355,0.113,0.1,1
COIL,0.008040734,0.20055224,0.118,0.103,1
SLC41A3,0.008046983,-0.236331947,0.058,0.067,1
TMEM161B,0.008061002,-0.258045045,0.052,0.059,1
C12orf65,0.008104466,-0.304825587,0.059,0.076,1
RNF10,0.008124783,-0.144098534,0.178,0.189,1
KLHDC10,0.008137607,0.195573412,0.05,0.042,1
CERS5,0.008140562,-0.182250347,0.054,0.057,1
DNAJB12,0.00822128,0.121237113,0.107,0.092,1
POGZ,0.008245826,-0.32091564,0.099,0.116,1
SNHG32,0.00826859,-0.293593017,0.107,0.132,1
RHOQ,0.008290406,0.277495042,0.086,0.065,1
RNF130,0.008302903,0.58291434,0.219,0.16,1
BAD,0.00830731,0.397091869,0.083,0.063,1
DENND2D,0.008345085,1.157891967,0.132,0.065,1
LCOR,0.008470193,-0.173723713,0.158,0.164,1
USP14,0.008514537,-0.314518346,0.125,0.144,1
PIAS2,0.008559569,-0.302877572,0.053,0.063,1
APP,0.008562489,0.127686423,0.101,0.091,1
ZNF770,0.008614971,0.320515244,0.119,0.097,1
SCAMP1,0.008654252,-0.129671776,0.089,0.094,1
METTL23,0.008690388,0.104398749,0.118,0.11,1
ITGB1,0.008694196,0.704541101,0.428,0.288,1
PAPSS1,0.008707989,0.735323713,0.064,0.037,1
SH2B3,0.008737144,0.123400184,0.106,0.091,1
UNC13D,0.008778852,0.929345063,0.061,0.03,1
DNAAF2,0.008786348,0.138051317,0.087,0.08,1
DNMT1,0.008788059,0.580183759,0.147,0.1,1
IGBP1,0.008792619,0.114254523,0.289,0.267,1
SNU13,0.008829034,-0.280851613,0.443,0.494,1
FAF2,0.008848238,-0.314094072,0.062,0.073,1
DUSP16,0.00885506,-0.293737759,0.062,0.075,1
CGRRF1,0.008868482,-0.167358673,0.099,0.115,1
PHF14,0.0089137,0.647214898,0.102,0.064,1
LILRA2,0.008990806,1.497914814,0.071,0.028,1
SGTB,0.009028984,-0.376463348,0.141,0.179,1
AL118516.1,0.009038245,-0.216990317,0.191,0.21,1
EPS15,0.009099776,0.264459212,0.216,0.175,1
MAD2L1BP,0.009103392,-0.22896253,0.05,0.059,1
NAPA,0.00916728,0.140685123,0.231,0.192,1
TGFBR3,0.00924909,0.31382821,0.155,0.123,1
TOX,0.009271266,0.628541124,0.083,0.051,1
ATG14,0.009297239,-0.385758291,0.174,0.218,1
NXF1,0.009338992,0.288335305,0.118,0.095,1
PIK3C2A,0.009341679,-0.251954198,0.103,0.112,1
WIPI2,0.009347414,-0.349380963,0.121,0.14,1
FO393401.1,0.009357443,0.340451796,0.073,0.058,1
CYHR1,0.009365935,0.811645812,0.077,0.045,1
MYADM,0.009366457,0.261242445,0.154,0.118,1
XAB2,0.009379551,-0.305974329,0.101,0.121,1
E2F3,0.009383161,0.439120038,0.059,0.04,1
CPQ,0.009398688,0.266406481,0.136,0.112,1
EMILIN2,0.009473695,0.587263704,0.109,0.065,1
ADPRM,0.009485494,-0.380174512,0.057,0.075,1
GPR137B,0.009501341,-0.288144891,0.061,0.067,1
PRELID3B,0.009593819,-0.270498372,0.168,0.201,1
NABP2,0.00962929,0.641653306,0.062,0.039,1
WDR45,0.009684327,0.430382406,0.115,0.085,1
THOC1,0.009722095,-0.191854118,0.126,0.131,1
IGF2R,0.009782163,0.217257789,0.211,0.165,1
MRPS31,0.00978782,0.46138606,0.073,0.053,1
VAPB,0.009788183,-0.188604272,0.065,0.073,1
SRPRA,0.009892951,-0.205046678,0.249,0.27,1
SBNO2,0.009896296,-0.173870832,0.074,0.077,1
MRPL18,0.009897447,0.176699887,0.078,0.067,1
PRKACB,0.009904193,0.577014498,0.169,0.116,1
SQSTM1,0.009949616,-0.215745159,0.46,0.493,1
ZNF644,0.009968039,-0.130246785,0.315,0.328,1
ALG13,0.009999469,-0.124009672,0.166,0.178,1
RAB9A,0.010008824,0.27436861,0.133,0.11,1
NOP56,0.010016698,0.484717806,0.071,0.05,1
CDR2,0.010021804,-0.27254335,0.113,0.135,1
VCPKMT,0.010027773,-0.197155416,0.099,0.113,1
PEX2,0.010032844,-0.265794331,0.072,0.083,1
CRIPT,0.01008009,0.332454278,0.062,0.045,1
THUMPD1,0.010117853,0.192254185,0.169,0.152,1
ZNF746,0.010179928,-0.347053271,0.074,0.091,1
FBRS,0.010265881,-0.211931012,0.137,0.15,1
BOLA2,0.010354007,-0.183172654,0.05,0.054,1
MIR22HG,0.010356754,0.572879337,0.112,0.08,1
SNAP23,0.01041872,0.539377216,0.111,0.078,1
BCKDK,0.010444059,1.0729708,0.05,0.024,1
USP20,0.010448505,-0.26893802,0.062,0.072,1
BRI3,0.01046061,0.256353335,0.346,0.313,1
DOCK2,0.01046169,0.481338917,0.257,0.188,1
CYFIP2,0.010670972,0.200886996,0.266,0.235,1
SREK1,0.010706897,-0.151973999,0.177,0.19,1
NSMAF,0.010730364,-0.194225596,0.119,0.125,1
MRTFA,0.010758849,0.222686944,0.141,0.117,1
AC118549.1,0.010783122,-0.206239795,0.106,0.116,1
BNIP3,0.010808252,0.311891134,0.073,0.061,1
HDAC1,0.010831424,0.733150116,0.185,0.114,1
YWHAB,0.010943637,0.164641791,0.567,0.52,1
TTYH3,0.011093692,0.476586358,0.067,0.043,1
LMO2,0.011160832,1.611802523,0.07,0.025,1
PEMT,0.011240303,0.308270257,0.051,0.041,1
POLR2K,0.01126358,-0.131005753,0.159,0.166,1
CUL3,0.011384145,-0.11797763,0.298,0.308,1
AHR,0.011436759,0.331821217,0.205,0.166,1
EPS15L1,0.011528987,0.323677846,0.081,0.061,1
ARSB,0.011537834,0.313217362,0.051,0.035,1
ELMSAN1,0.011593071,0.1267841,0.098,0.084,1
CHCHD3,0.011652107,0.298168605,0.15,0.119,1
HIST2H2AB,0.01168146,-0.138608015,0.049,0.052,1
MRPL44,0.011701063,0.219918956,0.173,0.151,1
CCS,0.011703005,0.710339815,0.102,0.063,1
ZFPL1,0.011720115,0.307393163,0.081,0.066,1
HVCN1,0.011752625,0.883925236,0.054,0.026,1
ACAA1,0.011758435,0.554195333,0.152,0.103,1
TDP1,0.011793586,-0.272933004,0.054,0.064,1
PHKG2,0.011873932,0.401337883,0.081,0.058,1
MRPS30,0.011931597,0.20602365,0.148,0.132,1
VBP1,0.011979374,0.587400204,0.077,0.048,1
TRMT1,0.011983015,0.351226899,0.119,0.093,1
MTRNR2L8,0.011994533,5.023256746,0.259,0.146,1
TAF10,0.012071428,0.138450684,0.524,0.482,1
NRROS,0.01209029,0.377283269,0.054,0.038,1
PTPRC,0.012096658,0.334482132,0.75,0.685,1
ZNF737,0.012119578,-0.162197718,0.057,0.062,1
MLLT6,0.012179414,0.199210488,0.128,0.113,1
PICALM,0.012222529,0.208419312,0.248,0.204,1
LDHA,0.012363083,-0.453052806,0.535,0.586,1
U2AF1L4,0.012449929,-0.262953052,0.101,0.12,1
IFNAR2,0.01249692,0.105625846,0.156,0.14,1
BICDL1,0.012683432,-0.733639186,0.05,0.076,1
SPECC1,0.01271922,1.124925989,0.051,0.023,1
ZNF433-AS1,0.012749011,-0.214443763,0.1,0.111,1
TRAPPC8,0.012787476,0.387360489,0.056,0.04,1
SMIM19,0.012801335,-0.379751262,0.118,0.144,1
IRAK1,0.01283776,-0.270578429,0.091,0.099,1
CYTIP,0.012872478,-0.312491295,0.448,0.514,1
IFI16,0.012889836,0.519492683,0.149,0.102,1
HSD17B12,0.012973965,0.315872374,0.051,0.039,1
GLS,0.013010385,0.215995266,0.311,0.265,1
ADAM8,0.013044092,0.568664148,0.167,0.116,1
MS4A7,0.013077788,2.036721283,0.062,0.027,1
MPEG1,0.013108889,1.127464369,0.079,0.037,1
LPCAT1,0.01311367,0.533819222,0.119,0.076,1
CNPY2,0.013121493,0.750511574,0.178,0.111,1
EDC4,0.013170172,-0.28851315,0.044,0.05,1
ZCCHC17,0.013239336,0.207944277,0.065,0.053,1
CCDC57,0.013268517,-0.388813699,0.126,0.155,1
SLU7,0.013275319,-0.119974501,0.114,0.124,1
DLEU1,0.013340575,0.324786304,0.092,0.067,1
ERAP1,0.013397904,0.277668755,0.087,0.067,1
SCAI,0.013398927,0.395509958,0.051,0.04,1
CCNB1IP1,0.013411644,0.127265678,0.078,0.075,1
GARS-DT,0.013416925,0.466489554,0.068,0.048,1
SS18,0.013471728,-0.227229346,0.102,0.11,1
USP28,0.013492358,1.286027673,0.058,0.023,1
SYS1,0.013511399,0.199574295,0.128,0.114,1
JMJD1C,0.013554118,-0.110553177,0.398,0.409,1
ATP6V1B2,0.013567217,0.365478592,0.104,0.076,1
F2R,0.013580322,-0.101241727,0.061,0.058,1
GZF1,0.013605234,0.259109358,0.052,0.042,1
ARHGAP9,0.013647048,0.208980006,0.254,0.202,1
PEX14,0.013673856,-0.195466162,0.084,0.092,1
XYLT1,0.013700675,0.150231754,0.064,0.052,1
BCOR,0.013752593,-0.629490281,0.065,0.089,1
MICAL2,0.0137699,0.636062048,0.054,0.03,1
SLC2A1,0.013776434,0.276208729,0.053,0.044,1
PTGES2,0.013780912,0.756616196,0.075,0.044,1
CNOT8,0.013799535,-0.287219404,0.195,0.229,1
LUC7L,0.013963595,-0.102643456,0.137,0.141,1
SECTM1,0.014006848,1.230981251,0.052,0.023,1
PACS2,0.01409343,0.611124234,0.063,0.042,1
SELENOK,0.014102692,-0.42391426,0.408,0.494,1
KLHL36,0.014114346,-0.422390273,0.085,0.111,1
NUDT2,0.014125381,0.184741995,0.059,0.051,1
NDEL1,0.014125665,0.132080001,0.173,0.154,1
NT5C3A,0.014156306,-0.174159221,0.132,0.141,1
HNRNPLL,0.014160546,-0.204106639,0.087,0.095,1
DPH7,0.014262989,-0.272261645,0.064,0.076,1
COMMD2,0.014265556,-0.386564232,0.124,0.154,1
HMGB1,0.014267507,-0.22892399,0.774,0.807,1
THAP7,0.014320854,-0.310085714,0.103,0.129,1
GNG10,0.014584514,0.403089531,0.095,0.069,1
YTHDF2,0.014596119,0.104273717,0.233,0.218,1
TDG,0.01460625,-0.192035224,0.132,0.148,1
MIOS,0.01463598,-0.101010199,0.096,0.102,1
RBMS1,0.014667888,0.132525822,0.325,0.291,1
LINC00623,0.014709453,0.18344945,0.137,0.121,1
TMPO,0.014777072,0.111123638,0.22,0.2,1
TEX264,0.014801665,0.719279667,0.15,0.092,1
PLXNC1,0.014830893,0.858599299,0.066,0.033,1
TMEM120A,0.014845449,0.712418712,0.074,0.046,1
KDM2A,0.014859807,-0.158304905,0.337,0.355,1
JOSD1,0.014901421,-0.479768326,0.166,0.211,1
THOC3,0.014972028,0.332141638,0.111,0.091,1
ARMCX3,0.015041776,0.435916505,0.055,0.038,1
RBM4,0.015119761,0.142067669,0.192,0.172,1
CALU,0.015204219,0.193156237,0.093,0.079,1
CHD8,0.015205839,-0.243470224,0.122,0.139,1
TRIM8,0.015224766,0.114323669,0.163,0.145,1
SUPT5H,0.015323107,-0.305132078,0.166,0.196,1
PRKCD,0.015332236,0.865323395,0.085,0.046,1
CCDC167,0.015425938,0.919334421,0.067,0.035,1
SEL1L3,0.015590404,0.243647513,0.066,0.061,1
TMX4,0.015608033,0.188517297,0.227,0.2,1
NIP7,0.015614147,0.103086026,0.068,0.064,1
HELQ,0.015616192,-0.105234087,0.071,0.075,1
LRPPRC,0.015633851,-0.12854935,0.128,0.132,1
ZCCHC2,0.015645901,-0.108675236,0.127,0.133,1
LRRC8D,0.015648122,0.221819768,0.05,0.041,1
CXorf40B,0.015720128,-0.235446959,0.047,0.052,1
SLC52A2,0.015825311,1.263957916,0.065,0.028,1
SUMO3,0.015869742,-0.187750509,0.257,0.281,1
OTUD5,0.015939494,-0.187085059,0.144,0.166,1
RETREG2,0.0159718,-0.152211195,0.118,0.128,1
STAT6,0.015972494,0.899779794,0.114,0.061,1
HPRT1,0.016094055,0.380562095,0.104,0.079,1
GNAQ,0.016146022,0.331950952,0.124,0.097,1
TERF2,0.016257639,-0.119982471,0.073,0.077,1
MINK1,0.016271664,0.361142253,0.086,0.064,1
SRI,0.016272252,0.378223848,0.224,0.17,1
USO1,0.016291897,0.730966466,0.071,0.042,1
AC009093.2,0.016303399,0.443057436,0.05,0.033,1
MRPS34,0.016334421,0.617895682,0.168,0.107,1
BAG6,0.016345361,0.671861844,0.129,0.085,1
PET100,0.016351792,-0.142482068,0.481,0.517,1
ATRX,0.016445963,0.550312344,0.276,0.192,1
PPIL3,0.016455946,-0.365452429,0.055,0.069,1
PLEKHO2,0.016617915,0.615414033,0.059,0.035,1
MAGT1,0.016768653,0.143914463,0.082,0.071,1
LAIR1,0.016809544,1.045901045,0.097,0.048,1
PPP2R5E,0.016854538,0.135869058,0.15,0.132,1
CALCOCO2,0.016899425,0.372129206,0.205,0.156,1
PISD,0.017039724,-0.136510394,0.073,0.071,1
SRRM1,0.017219095,-0.169111337,0.633,0.663,1
TMOD3,0.017351302,0.445891433,0.198,0.14,1
MRPL20,0.017402949,0.311282743,0.153,0.122,1
UBE2L3,0.01745024,0.119941759,0.269,0.248,1
MARK3,0.017454173,0.123343951,0.171,0.15,1
ASB6,0.017462575,-0.202411657,0.058,0.066,1
SLC12A9,0.017570375,0.729588358,0.058,0.033,1
OSBPL5,0.017596299,0.789909926,0.066,0.035,1
ANXA7,0.017615329,-0.331363184,0.223,0.259,1
SOCS3,0.017621176,-0.413465573,0.215,0.262,1
ZBTB24,0.017629377,-0.245866785,0.132,0.155,1
GABPA,0.017707427,-0.124880735,0.067,0.072,1
CELF1,0.017711028,0.101816922,0.149,0.134,1
GK5,0.017720367,0.293640771,0.091,0.072,1
TCEA2,0.017737621,0.516431122,0.076,0.054,1
PRPF38A,0.017743628,0.241646979,0.072,0.059,1
CXXC5,0.017812005,0.50987515,0.124,0.087,1
HK1,0.017931032,0.271451571,0.116,0.089,1
ZNF778,0.017943691,-0.868464193,0.033,0.056,1
POC1B,0.017990891,0.703676232,0.058,0.036,1
TOR1AIP1,0.017992066,-0.16929502,0.184,0.202,1
PPM1K,0.018049263,0.224077585,0.125,0.11,1
UQCC3,0.018066274,0.59606736,0.059,0.037,1
CLPX,0.018148584,-0.122769091,0.075,0.079,1
RSU1,0.018153503,0.46024611,0.121,0.086,1
ATP1B3,0.018201888,-0.403508536,0.151,0.16,1
RPS6KA5,0.018280567,0.133276455,0.112,0.097,1
BRAT1,0.018297492,0.372350018,0.051,0.038,1
ARFGEF2,0.018330074,-0.268770127,0.107,0.116,1
HIVEP2,0.01834481,-0.17655212,0.193,0.211,1
TBC1D17,0.018356134,0.58531264,0.061,0.04,1
SNHG17,0.01844688,-0.285995488,0.154,0.185,1
STMN3,0.018451369,0.126788611,0.121,0.119,1
RNF13,0.018479088,0.203774797,0.131,0.109,1
ELK1,0.018613623,-0.221319519,0.05,0.058,1
KMT5B,0.018688399,0.265428256,0.11,0.087,1
MPLKIP,0.018715524,0.383808407,0.079,0.057,1
TOR2A,0.018738265,1.071466102,0.067,0.032,1
DDX39A,0.018773759,-0.503420954,0.244,0.306,1
UBXN11,0.018811933,0.526344128,0.096,0.065,1
CHTF8,0.018862756,0.651847078,0.071,0.042,1
GLMN,0.018986064,-0.332352617,0.046,0.057,1
MAP2K1,0.019020895,0.450097312,0.143,0.105,1
FUBP1,0.019037837,0.130160974,0.181,0.165,1
TASP1,0.019049599,0.215447612,0.07,0.058,1
SP3,0.019166968,-0.224407092,0.276,0.302,1
LPAR6,0.019167522,0.443874854,0.061,0.044,1
DLGAP1-AS1,0.019171032,0.329023196,0.051,0.041,1
HPS4,0.019180366,-0.361604168,0.069,0.088,1
DYNLT3,0.019205085,0.155149528,0.167,0.156,1
INPP5K,0.019274894,-0.361741727,0.138,0.165,1
OTULIN,0.019279406,-0.343457891,0.159,0.181,1
LTV1,0.019457356,-0.188603768,0.091,0.1,1
RAB10,0.019491869,0.215148552,0.172,0.139,1
FBXL15,0.01951226,0.199066656,0.119,0.1,1
PTPRA,0.019664307,0.140660024,0.342,0.305,1
SMDT1,0.019700081,-0.113552644,0.498,0.521,1
SMG6,0.019776596,-0.160823219,0.136,0.147,1
SFSWAP,0.01987531,-0.13595412,0.173,0.186,1
MRPS18B,0.019899855,0.100381814,0.077,0.072,1
CUL2,0.019920286,-0.101794752,0.106,0.108,1
ASCC2,0.019920403,0.141751123,0.088,0.078,1
RABGGTB,0.01992568,-0.513577079,0.157,0.217,1
POLR2G,0.019960464,0.383498069,0.16,0.118,1
DOK2,0.019998753,0.380939473,0.249,0.185,1
MT-CO3,0.020021537,-0.12848489,0.905,0.917,1
LIMS1,0.020183568,0.132425827,0.159,0.127,1
ADD3,0.020243847,0.430785927,0.316,0.247,1
ANKMY1,0.020246185,0.219423193,0.064,0.053,1
MNAT1,0.020249724,-0.169305877,0.098,0.103,1
RASSF5,0.020254174,-0.252111979,0.239,0.264,1
TNFAIP2,0.020265294,1.164354982,0.103,0.049,1
DESI2,0.020286082,-0.463004404,0.088,0.113,1
WASHC2C,0.02037993,0.123913727,0.118,0.103,1
ZDHHC17,0.020402341,-0.220218302,0.054,0.058,1
BFAR,0.020412941,-0.161753298,0.103,0.112,1
GBP2,0.020427534,0.546860116,0.178,0.123,1
AGA,0.020719856,0.46058206,0.06,0.042,1
APBB1IP,0.020816003,0.669113191,0.333,0.218,1
RPRD1A,0.020818597,0.182449096,0.07,0.062,1
ARHGAP17,0.020870189,0.229029276,0.099,0.08,1
EXOC6,0.020908341,0.326874401,0.084,0.063,1
B4GALT5,0.020966181,0.207627364,0.069,0.055,1
HIF1A-AS3,0.020982309,0.106453996,0.072,0.067,1
PML,0.021053043,0.295942818,0.078,0.06,1
CSNK1D,0.02109844,-0.552334444,0.158,0.208,1
ITK,0.021109548,-0.152769116,0.183,0.201,1
PTBP3,0.021139955,0.142693617,0.262,0.23,1
ANKRD39,0.021169657,0.200761469,0.057,0.049,1
OAS2,0.02121571,1.493320513,0.055,0.019,1
